Step,Site,State
48,Histone_9,M
49,Histone_1,C
49,Histone_10,M
49,Histone_2,M
49,Histone_3,M
49,Histone_4,C
49,Histone_5,M
49,Histone_6,P
49,Histone_7,U
49,Histone_8,P
49,Histone_9,M
50,Histone_1,C
50,Histone_10,M
50,Histone_2,M
50,Histone_3,M
50,Histone_4,C
50,Histone_5,U
50,Histone_6,P
50,Histone_7,U
50,Histone_8,P
50,Histone_9,M
51,Histone_1,U
51,Histone_10,M
51,Histone_2,M
51,Histone_3,M
51,Histone_4,C
51,Histone_5,A
51,Histone_6,P
51,Histone_7,M
51,Histone_8,P
51,Histone_9,U
52,Histone_1,U
52,Histone_10,M
52,Histone_2,M
52,Histone_3,M
52,Histone_4,C
52,Histone_5,P
52,Histone_6,P
52,Histone_7,M
52,Histone_8,P
52,Histone_9,M
53,Histone_1,C
53,Histone_10,M
53,Histone_2,M
53,Histone_3,M
53,Histone_4,C
53,Histone_5,P
53,Histone_6,P
53,Histone_7,M
53,Histone_8,U
53,Histone_9,U
54,Histone_1,C
54,Histone_10,M
54,Histone_2,M
54,Histone_3,M
54,Histone_4,C
54,Histone_5,P
54,Histone_6,P
54,Histone_7,M
54,Histone_8,U
54,Histone_9,A
55,Histone_1,C
55,Histone_10,M
55,Histone_2,M
55,Histone_3,M
55,Histone_4,C
55,Histone_5,P
55,Histone_6,P
55,Histone_7,M
55,Histone_8,P
55,Histone_9,C
56,Histone_1,C
56,Histone_10,M
56,Histone_2,M
56,Histone_3,M
56,Histone_4,C
56,Histone_5,P
56,Histone_6,P
56,Histone_7,M
56,Histone_8,P
56,Histone_9,C
57,Histone_1,C
57,Histone_10,M
57,Histone_2,M
57,Histone_3,M
57,Histone_4,C
57,Histone_5,P
57,Histone_6,P
57,Histone_7,M
57,Histone_8,P
57,Histone_9,C
58,Histone_1,C
58,Histone_10,M
58,Histone_2,M
58,Histone_3,M
58,Histone_4,C
58,Histone_5,P
58,Histone_6,U
58,Histone_7,M
58,Histone_8,U
58,Histone_9,C
59,Histone_1,C
59,Histone_10,M
59,Histone_2,M
59,Histone_3,M
59,Histone_4,C
59,Histone_5,P
59,Histone_6,P
59,Histone_7,M
59,Histone_8,U
59,Histone_9,C
60,Histone_1,C
60,Histone_10,M
60,Histone_2,M
60,Histone_3,M
60,Histone_4,C
60,Histone_5,P
60,Histone_6,P
60,Histone_7,U
60,Histone_8,U
60,Histone_9,C
61,Histone_1,C
61,Histone_10,M
61,Histone_2,M
61,Histone_3,M
61,Histone_4,C
61,Histone_5,U
61,Histone_6,P
61,Histone_7,P
61,Histone_8,U
61,Histone_9,C
62,Histone_1,C
62,Histone_10,M
62,Histone_2,M
62,Histone_3,M
62,Histone_4,C
62,Histone_5,U
62,Histone_6,P
62,Histone_7,P
62,Histone_8,U
62,Histone_9,C
63,Histone_1,U
63,Histone_10,M
63,Histone_2,M
63,Histone_3,M
63,Histone_4,C
63,Histone_5,A
63,Histone_6,P
63,Histone_7,P
63,Histone_8,P
63,Histone_9,C
64,Histone_1,M
64,Histone_10,M
64,Histone_2,M
64,Histone_3,M
64,Histone_4,C
64,Histone_5,C
64,Histone_6,U
64,Histone_7,P
64,Histone_8,P
64,Histone_9,C
65,Histone_1,U
65,Histone_10,M
65,Histone_2,M
65,Histone_3,M
65,Histone_4,C
65,Histone_5,C
65,Histone_6,U
65,Histone_7,P
65,Histone_8,P
65,Histone_9,C
66,Histone_1,U
66,Histone_10,U
66,Histone_2,M
66,Histone_3,M
66,Histone_4,C
66,Histone_5,C
66,Histone_6,M
66,Histone_7,P
66,Histone_8,P
66,Histone_9,C
67,Histone_1,P
67,Histone_10,C
67,Histone_2,M
67,Histone_3,M
67,Histone_4,C
67,Histone_5,C
67,Histone_6,U
67,Histone_7,P
67,Histone_8,U
67,Histone_9,C
68,Histone_1,P
68,Histone_10,C
68,Histone_2,M
68,Histone_3,M
68,Histone_4,C
68,Histone_5,C
68,Histone_6,M
68,Histone_7,P
68,Histone_8,A
68,Histone_9,C
69,Histone_1,P
69,Histone_10,C
69,Histone_2,M
69,Histone_3,M
69,Histone_4,U
69,Histone_5,U
69,Histone_6,M
69,Histone_7,P
69,Histone_8,P
69,Histone_9,C
70,Histone_1,P
70,Histone_10,C
70,Histone_2,M
70,Histone_3,M
70,Histone_4,C
70,Histone_5,U
70,Histone_6,M
70,Histone_7,P
70,Histone_8,P
70,Histone_9,C
71,Histone_1,P
71,Histone_10,U
71,Histone_2,M
71,Histone_3,M
71,Histone_4,C
71,Histone_5,U
71,Histone_6,M
71,Histone_7,P
71,Histone_8,U
71,Histone_9,C
72,Histone_1,P
72,Histone_10,U
72,Histone_2,M
72,Histone_3,M
72,Histone_4,C
72,Histone_5,U
72,Histone_6,M
72,Histone_7,P
72,Histone_8,M
72,Histone_9,C
73,Histone_1,U
73,Histone_10,P
73,Histone_2,M
73,Histone_3,M
73,Histone_4,C
73,Histone_5,U
73,Histone_6,U
73,Histone_7,P
73,Histone_8,M
73,Histone_9,C
74,Histone_1,C
74,Histone_10,P
74,Histone_2,M
74,Histone_3,M
74,Histone_4,C
74,Histone_5,U
74,Histone_6,M
74,Histone_7,P
74,Histone_8,U
74,Histone_9,C
75,Histone_1,C
75,Histone_10,U
75,Histone_2,U
75,Histone_3,M
75,Histone_4,C
75,Histone_5,U
75,Histone_6,M
75,Histone_7,P
75,Histone_8,U
75,Histone_9,C
76,Histone_1,C
76,Histone_10,U
76,Histone_2,P
76,Histone_3,M
76,Histone_4,C
76,Histone_5,U
76,Histone_6,M
76,Histone_7,P
76,Histone_8,U
76,Histone_9,C
77,Histone_1,C
77,Histone_10,U
77,Histone_2,P
77,Histone_3,M
77,Histone_4,C
77,Histone_5,U
77,Histone_6,M
77,Histone_7,P
77,Histone_8,C
77,Histone_9,C
78,Histone_1,C
78,Histone_10,C
78,Histone_2,P
78,Histone_3,M
78,Histone_4,C
78,Histone_5,P
78,Histone_6,M
78,Histone_7,P
78,Histone_8,C
78,Histone_9,C
79,Histone_1,C
79,Histone_10,C
79,Histone_2,U
79,Histone_3,U
79,Histone_4,C
79,Histone_5,P
79,Histone_6,M
79,Histone_7,P
79,Histone_8,C
79,Histone_9,C
80,Histone_1,C
80,Histone_10,C
80,Histone_2,U
80,Histone_3,U
80,Histone_4,C
80,Histone_5,P
80,Histone_6,M
80,Histone_7,P
80,Histone_8,U
80,Histone_9,C
81,Histone_1,C
81,Histone_10,C
81,Histone_2,C
81,Histone_3,M
81,Histone_4,C
81,Histone_5,U
81,Histone_6,U
81,Histone_7,P
81,Histone_8,C
81,Histone_9,C
82,Histone_1,C
82,Histone_10,C
82,Histone_2,C
82,Histone_3,U
82,Histone_4,U
82,Histone_5,U
82,Histone_6,U
82,Histone_7,P
82,Histone_8,U
82,Histone_9,C
83,Histone_1,C
83,Histone_10,C
83,Histone_2,C
83,Histone_3,U
83,Histone_4,M
83,Histone_5,M
83,Histone_6,C
83,Histone_7,P
83,Histone_8,P
83,Histone_9,C
84,Histone_1,C
84,Histone_10,C
84,Histone_2,C
84,Histone_3,U
84,Histone_4,M
84,Histone_5,U
84,Histone_6,C
84,Histone_7,P
84,Histone_8,P
84,Histone_9,C
85,Histone_1,C
85,Histone_10,C
85,Histone_2,C
85,Histone_3,U
85,Histone_4,M
85,Histone_5,U
85,Histone_6,C
85,Histone_7,P
85,Histone_8,P
85,Histone_9,C
86,Histone_1,C
86,Histone_10,C
86,Histone_2,C
86,Histone_3,C
86,Histone_4,U
86,Histone_5,C
86,Histone_6,U
86,Histone_7,P
86,Histone_8,P
86,Histone_9,C
