Step,Site,State
60,Histone_6,M
60,Histone_7,M
60,Histone_8,M
60,Histone_9,M
61,Histone_1,M
61,Histone_10,M
61,Histone_2,M
61,Histone_3,M
61,Histone_4,M
61,Histone_5,M
61,Histone_6,M
61,Histone_7,M
61,Histone_8,M
61,Histone_9,M
62,Histone_1,M
62,Histone_10,M
62,Histone_2,M
62,Histone_3,M
62,Histone_4,M
62,Histone_5,M
62,Histone_6,M
62,Histone_7,M
62,Histone_8,M
62,Histone_9,M
63,Histone_1,M
63,Histone_10,M
63,Histone_2,M
63,Histone_3,M
63,Histone_4,M
63,Histone_5,M
63,Histone_6,M
63,Histone_7,M
63,Histone_8,M
63,Histone_9,M
64,Histone_1,M
64,Histone_10,M
64,Histone_2,M
64,Histone_3,M
64,Histone_4,M
64,Histone_5,M
64,Histone_6,M
64,Histone_7,M
64,Histone_8,M
64,Histone_9,M
65,Histone_1,M
65,Histone_10,M
65,Histone_2,M
65,Histone_3,M
65,Histone_4,U
65,Histone_5,M
65,Histone_6,M
65,Histone_7,M
65,Histone_8,M
65,Histone_9,M
66,Histone_1,M
66,Histone_10,M
66,Histone_2,M
66,Histone_3,M
66,Histone_4,M
66,Histone_5,M
66,Histone_6,M
66,Histone_7,M
66,Histone_8,M
66,Histone_9,M
67,Histone_1,M
67,Histone_10,M
67,Histone_2,M
67,Histone_3,M
67,Histone_4,M
67,Histone_5,M
67,Histone_6,M
67,Histone_7,M
67,Histone_8,M
67,Histone_9,M
68,Histone_1,M
68,Histone_10,M
68,Histone_2,M
68,Histone_3,M
68,Histone_4,M
68,Histone_5,M
68,Histone_6,M
68,Histone_7,M
68,Histone_8,M
68,Histone_9,M
69,Histone_1,M
69,Histone_10,M
69,Histone_2,M
69,Histone_3,M
69,Histone_4,M
69,Histone_5,M
69,Histone_6,M
69,Histone_7,M
69,Histone_8,M
69,Histone_9,M
70,Histone_1,M
70,Histone_10,M
70,Histone_2,M
70,Histone_3,M
70,Histone_4,M
70,Histone_5,M
70,Histone_6,U
70,Histone_7,M
70,Histone_8,M
70,Histone_9,M
71,Histone_1,M
71,Histone_10,M
71,Histone_2,M
71,Histone_3,M
71,Histone_4,M
71,Histone_5,M
71,Histone_6,M
71,Histone_7,M
71,Histone_8,M
71,Histone_9,M
72,Histone_1,M
72,Histone_10,M
72,Histone_2,M
72,Histone_3,M
72,Histone_4,M
72,Histone_5,U
72,Histone_6,M
72,Histone_7,M
72,Histone_8,M
72,Histone_9,M
73,Histone_1,M
73,Histone_10,M
73,Histone_2,M
73,Histone_3,M
73,Histone_4,M
73,Histone_5,M
73,Histone_6,M
73,Histone_7,M
73,Histone_8,M
73,Histone_9,M
74,Histone_1,M
74,Histone_10,M
74,Histone_2,M
74,Histone_3,M
74,Histone_4,M
74,Histone_5,M
74,Histone_6,M
74,Histone_7,M
74,Histone_8,M
74,Histone_9,M
75,Histone_1,M
75,Histone_10,M
75,Histone_2,M
75,Histone_3,M
75,Histone_4,M
75,Histone_5,M
75,Histone_6,M
75,Histone_7,U
75,Histone_8,M
75,Histone_9,M
76,Histone_1,M
76,Histone_10,M
76,Histone_2,M
76,Histone_3,M
76,Histone_4,M
76,Histone_5,M
76,Histone_6,M
76,Histone_7,M
76,Histone_8,M
76,Histone_9,M
77,Histone_1,M
77,Histone_10,M
77,Histone_2,M
77,Histone_3,M
77,Histone_4,M
77,Histone_5,M
77,Histone_6,M
77,Histone_7,M
77,Histone_8,M
77,Histone_9,M
78,Histone_1,M
78,Histone_10,M
78,Histone_2,M
78,Histone_3,M
78,Histone_4,M
78,Histone_5,M
78,Histone_6,M
78,Histone_7,M
78,Histone_8,M
78,Histone_9,M
79,Histone_1,M
79,Histone_10,M
79,Histone_2,M
79,Histone_3,M
79,Histone_4,M
79,Histone_5,M
79,Histone_6,M
79,Histone_7,M
79,Histone_8,M
79,Histone_9,M
80,Histone_1,M
80,Histone_10,M
80,Histone_2,M
80,Histone_3,M
80,Histone_4,U
80,Histone_5,M
80,Histone_6,M
80,Histone_7,M
80,Histone_8,M
80,Histone_9,M
81,Histone_1,M
81,Histone_10,M
81,Histone_2,M
81,Histone_3,M
81,Histone_4,U
81,Histone_5,M
81,Histone_6,M
81,Histone_7,M
81,Histone_8,M
81,Histone_9,M
82,Histone_1,M
82,Histone_10,M
82,Histone_2,M
82,Histone_3,M
82,Histone_4,M
82,Histone_5,M
82,Histone_6,M
82,Histone_7,M
82,Histone_8,M
82,Histone_9,M
83,Histone_1,M
83,Histone_10,M
83,Histone_2,M
83,Histone_3,M
83,Histone_4,M
83,Histone_5,M
83,Histone_6,M
83,Histone_7,U
83,Histone_8,M
83,Histone_9,M
84,Histone_1,M
84,Histone_10,M
84,Histone_2,U
84,Histone_3,M
84,Histone_4,M
84,Histone_5,M
84,Histone_6,M
84,Histone_7,M
84,Histone_8,M
84,Histone_9,M
85,Histone_1,M
85,Histone_10,M
